目标客户编号,品牌类型,电池技术性能得分,舒适性得分,经济性得分,安全性表现得分,动力性表现得分,驾驶操控性表现得分,外观内饰得分,配置与质量品质得分,户口类型,居住时间,居住区域类型,驾龄,家庭成员数,婚姻类型,子女数,出生年,最高学历,工作年限,单位性质,职位类型,家庭年收入,个人年收入,家庭可支配收入,房贷占收入比,车贷占收入比,购买意愿
313,2,64.84610161,66.69011554,70.44455435,66.65889442,66.65499787,66.66457788,71.23726238,66.65690932,1,13,1,6,2,3,,1990,6,6,4,7,20,12,10,30,5,0
314,2,77.80869155,75.77902087,77.80531758,70.81797534,74.68643201,74.69847916,75.49428348,73.66173617,2,30,3,3,5,6,1,1989,5,6,3,8,20,10,15,0,0,0
315,2,77.80869155,77.80346762,66.69170125,73.60796285,74.52217771,69.20505977,71.0551998,74.43696203,2,31,2,5,5,6,1,1988,5,8,4,4,20,11,17,0,0,0
316,2,85.04342101,79.06649601,81.55817068,77.76704377,80.83856378,77.77367433,82.34645282,81.86771957,2,29,2,4,5,6,1,1991,5,5,8,10,28,14,13,36,0,0
317,2,93.52532705,98.00572505,92.67178702,88.87519312,93.88559672,91.62948048,88.88352277,96.65259912,2,30,2,10,3,5,1,1989,6,8,4,2,24,15,12,0,25,0
318,2,65.89479439,75.3736905,70.29961138,77.76704377,81.00281808,77.77367433,71.23726238,77.76472787,1,7,2,5,2,3,,1985,5,14,3,5,26,9,9,20,20,0
319,2,77.80869155,82.62510972,81.55817068,81.45251238,77.76249789,77.77367433,77.77433233,81.86771957,1,10,2,5,3,5,1,1980,5,15,4,4,25,14,6,30,25,0
320,2,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,96.30330397,2,9,1,6,5,6,1,1985,6,13,3,7,25,9,11,10,25,0
321,2,83.52045368,82.2576915,81.55817068,77.76704377,80.83856378,80.52038403,84.31140228,81.09249372,1,8,3,6,3,5,1,1988,6,10,7,9,30,25,10,30,20,0
322,2,86.70434003,85.62934458,88.91893392,81.92612469,85.85416258,85.80757561,86.60347392,74.86289273,2,8,2,6,3,2,,1989,5,6,8,10,30,25,20,10,10,1
323,2,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,6,2,10,3,2,,1989,5,7,8,10,30,20,20,10,10,0
324,2,62.81522448,69.0819805,62.93884815,66.65889442,64.87971925,66.66457788,66.66514189,59.22615178,2,18,1,10,3,5,1,1988,5,7,6,5,30,20,16,30,5,0
325,2,82.79728523,84.64955647,85.16608081,84.7161122,83.85439911,83.5955792,82.16439024,85.54478058,2,14,2,8,2,3,,1989,6,9,8,10,30,25,26,10,10,0
326,2,72.66537132,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,10,4,8,5,6,1,1988,6,8,7,9,40,25,20,20,20,0
327,2,61.72109952,71.91708801,51.82185391,62.97342581,49.22542647,55.88149462,68.82417673,77.41543272,1,4,3,6,3,2,,1995,5,4,4,7,40,25,15,40,0,0
328,2,71.11474506,65.79450537,70.44455435,67.55437552,69.73106376,69.41128758,77.77433233,77.76472787,2,6,2,3,4,3,,1986,6,10,1,2,60,47,47,0,0,0
329,2,60.80284056,62.99731003,59.33093802,66.65889442,66.65499787,69.41128758,71.04317701,62.97984832,1,25,2,21,5,5,2,1977,4,19,9,11,50,5,30,20,20,0
330,2,85.36894535,84.09517762,85.16608081,81.92612469,85.79393203,86.13606108,82.16439024,85.54478058,1,13,2,9,2,3,,1989,6,9,7,9,70,60,50,10,10,1
331,2,85.78268779,85.91258485,66.54338037,88.87519312,80.94258752,80.84886951,77.77433233,77.33879717,2,32,1,1,1,1,,1988,6,10,4,3,40,20,19,18,20,0
332,2,74.66858952,68.67665012,70.44455435,74.50344395,71.50634238,69.41128758,71.0551998,70.75990103,2,25,1,6,2,3,,1994,4,3,6,7,17,5,6,20,20,0
333,2,68.52698662,60.89819338,59.33093802,62.4998135,60.3386118,55.55548143,64.37307026,58.87685662,1,2,2,2,2,3,,2000,4,1,4,4,10,9,9,50,20,0
334,2,79.33165888,76.06226115,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,30,2,4,1,1,,1990,5,7,6,7,40,15,22,0,0,0
335,2,64.98924048,68.46923418,63.08379112,70.34436303,71.19610532,69.41128758,66.67716468,70.33397033,2,30,2,15,5,6,2,1977,5,19,8,10,28,25,20,25,15,0
336,2,78.91791644,83.19956745,81.55817068,88.87519312,82.55361184,88.88277078,86.60347392,85.54478058,1,29,2,7,3,5,1,1990,6,7,6,3,10,23,18,20,0,0
337,2,76.69946665,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,30,2,3,1,1,,1990,6,6,5,7,22,17,17,0,0,0
338,2,92.04614404,83.23747961,99.0325502,81.92612469,89.09448277,83.06086591,90.96948625,88.87254642,2,10,1,4,6,2,2,1993,5,5,4,4,12,8,9,10,0,0
339,2,69.08386793,74.79923276,70.44455435,76.87156267,71.67059668,72.28025494,68.77515095,71.10919618,2,40,3,18,5,2,1,1980,8,18,5,2,48,34,30,20,20,0
340,2,73.36088084,78.208798,85.16608081,77.76704377,69.73106376,75.02696464,73.34727143,74.43696203,2,33,2,8,4,5,2,1987,5,10,2,4,12,7,8,0,0,0
341,2,80.58402264,84.28213825,85.16608081,77.76704377,69.6708332,77.23896104,90.96948625,81.09249372,1,5,2,3,5,6,1,1984,5,12,5,4,16,10,8,40,10,0
342,2,84.25972045,86.89237296,85.16608081,88.87519312,84.01865341,85.80757561,86.59145113,85.54478058,2,35,2,12,4,5,2,1985,4,13,4,3,28,16,25,0,17,0
343,2,81.36253601,83.23747961,85.16608081,81.45251238,77.82272845,83.06086591,82.34645282,81.86771957,2,17,2,12,3,5,1,1987,5,10,7,9,18,13,15,0,0,0
344,2,83.93419612,85.62934458,85.16608081,84.7161122,82.7780967,86.13606108,82.34645282,85.54478058,1,16,1,10,3,1,1,1989,5,7,5,4,50,29,38,0,0,1
345,2,82.41122879,84.46259583,88.91893392,88.87519312,74.68643201,83.5955792,82.16439024,81.09249372,2,8,1,10,3,5,1,1982,6,13,1,6,16,6,8,10,20,0
346,2,74.12780654,68.14010455,74.05246448,66.65889442,63.57893199,69.73977306,73.38427443,62.55391762,2,30,1,10,3,5,1,1990,6,7,5,2,17,15,18,20,5,0
347,2,72.82009786,70.95737878,70.44455435,69.92249424,66.43051302,71.95176946,73.33524865,74.08766687,2,37,3,12,4,5,2,1983,4,13,6,3,40,32,25,15,20,0
348,2,64.06240105,70.38292105,66.69170125,66.65889442,77.70226734,74.69847916,64.57917841,74.43696203,2,45,2,20,4,5,2,1975,4,23,8,10,28,18,20,0,23,0
349,2,72.22396995,76.54043924,77.80531758,70.81797534,77.92675219,77.77367433,68.94519074,77.76472787,2,36,1,6,3,5,1,1984,6,13,4,5,19,10,14,12,0,0
350,2,94.30902761,97.02593694,77.66037461,93.45614283,96.90143205,80.84886951,95.6026553,96.65259912,2,17,2,3,4,4,,1997,5,1,6,5,17,5,8,20,0,0
351,2,79.96660922,77.99042826,74.05246448,78.24065607,85.85416258,83.5955792,71.24928516,82.21701473,2,38,1,10,4,6,1,1981,6,14,5,5,22,15,17,20,9,0
352,2,85.04342101,85.2240142,81.55817068,78.18891256,85.62967773,83.5955792,84.49346486,81.09249372,2,29,2,7,3,2,,1980,4,18,4,7,29,12,7,20,33,0
353,2,84.32025257,87.17561323,85.16608081,85.6115933,81.00281808,88.88277078,88.88352277,88.87254642,2,11,2,5,3,5,1,1987,6,9,6,4,20,13,10,0,20,0
354,2,84.25972045,86.89237296,88.91893392,88.87519312,85.79393203,83.06086591,84.2993795,82.21701473,2,25,2,20,3,5,1,1982,8,13,7,9,20,15,12,20,15,0
355,2,77.62630608,85.62934458,85.16608081,84.7161122,76.46171063,86.13606108,80.05438118,81.44178887,2,34,1,7,3,5,1,1986,6,10,4,4,23,12,20,15,0,0
356,2,84.32025257,79.06649601,81.41322771,81.92612469,77.76249789,78.10215981,77.9684177,74.43696203,2,39,2,15,5,6,1,1981,6,19,3,2,25,14,10,0,0,1
357,2,73.2061543,74.11066211,70.44455435,74.50344395,72.97138394,77.77367433,73.33524865,77.76472787,2,30,2,3,3,2,,1990,6,7,5,7,20,12,15,0,0,0
358,2,84.6734629,85.2240142,81.55817068,81.45251238,80.83856378,83.5955792,84.25035372,85.19548542,2,15,3,10,3,2,,1990,6,10,5,4,20,10,10,35,25,0
359,2,71.29713052,71.14433942,70.44455435,70.81797534,71.67059668,71.95176946,68.76312816,70.75990103,2,20,1,10,4,4,,1990,6,8,6,7,20,12,14,0,0,0
360,2,71.29713052,69.48731088,66.69170125,70.81797534,74.52217771,69.41128758,68.76312816,63.32914348,2,35,1,10,3,5,1,1985,6,12,5,2,30,21,10,50,0,0
361,2,82.212745,98.76714341,85.16608081,92.56066173,79.53777651,86.3422889,82.15236745,77.33879717,2,21,2,16,6,6,2,1975,6,22,4,6,25,14,11,0,30,0
362,2,72.12227361,76.63671888,74.05246448,81.03064359,66.65499787,69.41128758,77.77433233,66.65690932,1,7,2,2,5,6,1,1991,6,5,6,5,20,13,7,20,20,0
363,2,82.41122879,85.91258485,81.55817068,77.76704377,84.01865341,80.52038403,82.34645282,81.09249372,2,10,3,8,3,5,1,1988,6,8,8,10,35,30,15,20,20,0
364,2,73.2061543,75.77902087,77.80531758,77.76704377,75.98721927,77.77367433,77.77433233,73.66173617,2,30,1,7,3,5,1,1989,6,8,4,2,30,24,16,35,0,0
365,2,82.79728523,86.89237296,81.55817068,85.6115933,87.09471929,88.88277078,86.59145113,81.44178887,2,12,2,8,3,2,,1989,6,7,7,9,30,20,22,10,10,0
366,2,77.80869155,77.80346762,77.80531758,81.03064359,77.76249789,77.77367433,77.59226975,84.76955472,1,10,2,8,3,4,1,1988,5,9,7,9,30,22,10,50,5,0
367,2,77.62630608,78.45412611,70.44455435,74.50344395,66.81925217,66.99306336,68.76312816,63.32914348,1,15,1,5,4,5,2,1987,5,10,4,2,30,24,21,10,0,0
368,2,77.80869155,77.80346762,74.05246448,77.76704377,77.76249789,77.77367433,80.06640397,77.76472787,1,10,2,9,3,2,,1989,6,7,7,9,65,55,40,10,10,0
369,2,76.69946665,77.04204926,66.54338037,73.60796285,71.44611182,66.66457788,73.20221184,73.66173617,1,8,1,1,4,5,2,1986,5,11,4,2,40,18,30,15,5,0
370,2,75.23703143,73.94153476,77.80531758,73.60796285,74.52217771,83.06086591,84.31140228,81.09249372,2,29,1,9,4,4,,1991,5,5,5,4,6,15,23,0,0,0
371,2,93.52532705,92.60962522,88.91893392,99.98334246,92.1103181,94.16996236,95.42059272,96.65259912,2,10,1,6,3,5,1,1990,6,6,4,3,6,20,15,10,20,0
372,2,85.36894535,90.17984809,88.91893392,88.87519312,88.86999791,88.88277078,93.32260645,84.76955472,2,11,1,4,3,5,1,1989,6,7,3,4,6,18,14,25,0,0
373,2,78.53185999,75.41160266,74.05246448,81.92612469,77.92675219,77.77367433,73.39629721,84.76955472,2,18,2,10,3,5,1,1983,6,13,2,5,8,5,4,20,0,0
374,2,77.80869155,76.54043924,66.69170125,73.18609406,72.91115339,77.77367433,73.20221184,73.66173617,2,8,2,7,3,5,1,1989,6,7,4,3,11,13,8,20,35,0
375,2,72.82009786,77.95251609,59.33093802,74.02983164,82.24337479,75.02696464,75.6152975,74.86289273,2,30,2,5,3,5,1,1989,6,6,4,5,10,5,5,15,20,0
376,2,77.80869155,79.06649601,92.67178702,81.03064359,79.53777651,88.88277078,88.88352277,88.87254642,1,3,4,3,1,1,,1994,4,5,9,11,10,5,8,15,10,0
377,2,76.15868367,59.93811932,66.54338037,63.81422586,65.35421061,71.95176946,68.81215394,55.11946702,2,32,2,10,4,6,1,1987,5,10,3,8,10,6,7,0,0,0
378,2,68.92914139,69.11989267,81.41322771,81.92612469,71.34208808,66.33609241,71.28628816,73.66173617,2,5,2,18,2,3,,1980,8,18,4,1,23,8,10,0,0,0
379,2,85.56742914,88.6714916,92.52684404,93.45614283,81.31305513,88.34805749,91.21259739,91.77438157,1,5,1,2,3,2,,1994,4,3,5,8,10,6,9,0,0,1
380,2,72.54949428,84.09517762,59.18261714,81.92612469,83.85439911,86.13606108,88.88352277,77.76472787,1,15,3,6,3,5,1,1985,3,12,3,6,11,9,8,30,0,0
381,2,76.69946665,74.51599249,70.44455435,77.76704377,77.76249789,69.73977306,75.49428348,73.66173617,2,37,1,8,3,5,1,1982,6,12,4,3,11,13,22,17,0,0
382,2,83.21102768,82.07073087,85.16608081,84.7161122,85.79393203,83.5955792,82.34645282,81.09249372,2,12,1,12,4,5,2,1983,4,15,6,5,13,45,50,10,5,0
383,2,81.16405222,82.34186945,77.80531758,69.92249424,72.52241424,78.10215981,71.24928516,81.86771957,2,28,2,3,2,3,,1992,6,5,3,4,12,8,10,1,15,0
384,2,82.41122879,80.80770249,81.55817068,84.7161122,87.09471929,80.52038403,82.34645282,85.54478058,2,40,3,21,5,6,1,1980,5,21,7,9,25,15,10,40,0,0
385,2,78.94560243,82.34186945,81.41322771,88.87519312,82.38935755,88.88277078,80.06640397,84.76955472,2,29,2,8,5,6,1,1991,6,6,4,4,28,19,15,0,13,0
386,2,86.3511297,81.09094276,81.55817068,81.92612469,83.85439911,80.52038403,84.31140228,81.86771957,2,32,1,11,3,5,1,1988,5,8,6,3,30,18,11,0,0,1
387,2,73.2061543,73.34924375,77.80531758,67.55437552,74.74666256,69.73977306,68.77515095,74.86289273,1,7,2,10,3,2,,1988,5,8,7,9,13,40,30,10,10,0
388,2,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,15,1,8,3,5,1,1989,6,8,3,4,18,11,13,0,0,1
389,2,82.4717609,80.23324475,81.55817068,77.76704377,77.76249789,83.06086591,84.31140228,81.86771957,1,10,2,6,3,5,1,1990,6,8,2,4,16,12,13,20,5,0
390,2,75.77781441,73.34924375,70.44455435,70.81797534,77.76249789,77.77367433,71.0551998,69.98467517,2,35,2,10,4,5,2,1985,6,12,2,7,24,12,17,0,12,0
391,2,77.80869155,78.208798,74.19740745,77.76704377,77.70226734,77.77367433,80.05438118,77.76472787,2,40,2,20,3,5,1,1980,6,21,3,7,25,14,8,40,10,0
392,2,69.8346953,77.80346762,77.80531758,81.03064359,74.74666256,74.69847916,77.77433233,84.76955472,1,10,2,8,3,5,1,1987,6,9,4,4,15,8,10,15,5,0
393,2,88.92278981,83.8881381,77.80531758,88.87519312,88.86999791,88.88277078,86.59145113,88.87254642,2,3,2,2,6,6,2,1991,5,5,5,8,15,9,12,10,5,0
394,2,79.83956868,77.80346762,81.55817068,81.03064359,84.07888396,83.5955792,84.31140228,84.76955472,1,15,3,11,3,5,1,1988,6,8,4,2,19,15,14,0,0,0
395,2,78.73034378,67.91523176,81.55817068,81.92612469,69.73106376,72.48648275,82.15236745,77.76472787,2,30,2,8,4,5,1,1990,6,8,2,4,11,7,8,12,0,0
396,2,77.80869155,77.80346762,81.55817068,81.03064359,77.76249789,80.84886951,80.06640397,77.76472787,2,32,1,6,3,5,1,1988,5,10,4,7,25,13,20,10,0,0
397,2,73.2061543,75.3736905,70.44455435,77.76704377,71.13587477,66.99306336,68.95721353,65.88168347,2,31,3,5,3,5,1,1989,6,8,4,4,28,13,16,25,10,0
398,2,80.94879357,83.19956745,77.80531758,88.87519312,81.00281808,77.77367433,88.88352277,85.19548542,2,6,1,9,3,5,1,1985,8,12,6,3,20,16,9,30,5,0
399,2,83.93419612,84.64955647,77.80531758,85.1897245,82.6138424,83.5955792,82.34645282,85.54478058,2,30,2,5,2,3,,1990,6,5,4,7,24,15,15,30,10,0
400,2,86.70434003,83.23747961,81.55817068,85.1897245,85.85416258,86.13606108,84.31140228,84.76955472,2,32,2,6,2,3,,1988,4,8,4,7,20,11,15,0,7,1
401,2,74.25484708,73.34924375,77.80531758,77.76704377,74.68643201,77.77367433,75.67634606,74.43696203,1,15,2,4,5,6,1,1989,5,6,3,8,25,12,20,0,0,0
402,2,99.0368881,99.0301718,96.27969715,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,16,2,14,3,5,1,1984,5,10,6,2,26,14,11,10,20,0
403,2,74.12780654,74.51599249,59.33093802,70.81797534,72.91115339,69.41128758,66.85922726,73.66173617,1,15,3,13,6,6,2,1983,6,13,7,9,38,17,20,24,20,0
404,2,78.13421588,78.69907779,70.44455435,70.34436303,80.83856378,77.77367433,73.38427443,70.75990103,2,35,1,9,3,5,1,1985,5,13,3,4,35,17,28,20,0,0
405,2,76.69946665,72.08621536,77.80531758,77.76704377,77.76249789,77.77367433,73.33524865,77.76472787,1,7,1,7,5,6,1,1985,5,10,6,4,30,15,7,50,10,0
406,2,85.04342101,83.48280772,77.80531758,85.1897245,77.76249789,80.52038403,73.33524865,85.54478058,1,31,2,6,3,5,1,1989,6,6,5,2,30,11,8,20,35,0
407,2,85.04342101,83.38652808,88.91893392,88.87519312,88.86999791,88.88277078,88.87149998,78.11402303,2,26,1,6,3,2,,1994,5,6,2,8,40,10,20,30,10,0
408,2,77.80869155,77.04204926,70.44455435,74.08157516,74.52217771,75.02696464,73.38427443,74.43696203,2,35,1,16,3,5,1,1985,4,11,4,1,30,25,25,0,0,0
409,2,77.80869155,83.23747961,77.80531758,77.76704377,88.86999791,88.88277078,88.88352277,88.87254642,2,10,2,11,3,2,,1989,5,8,7,9,50,45,40,10,10,0
410,2,68.78600252,66.97335581,63.08379112,62.4998135,76.04744983,72.48648275,75.6152975,62.55391762,2,29,3,3,3,5,1,1991,5,5,3,4,12,8,9,10,0,0
411,2,80.63936756,79.79000221,81.41322771,85.6115933,77.70226734,64.124096,77.77433233,77.33879717,2,20,2,6,4,6,1,1984,5,16,5,7,20,10,12,40,10,0
412,2,77.80869155,74.79923276,74.05246448,77.76704377,77.76249789,69.41128758,73.20221184,77.76472787,2,26,1,6,3,2,,1994,6,4,4,4,18,10,10,20,10,0
413,2,71.89844562,68.79874023,70.44455435,67.55437552,66.43051302,71.95176946,71.0551998,74.43696203,1,3,3,6,2,3,,1993,4,3,4,8,25,15,18,0,12,0
414,2,70.37547828,69.0819805,77.80531758,74.50344395,69.89531806,66.66457788,66.66514189,66.65690932,2,15,1,10,3,5,1,1987,4,8,3,4,15,10,10,15,6,0
415,2,81.84278688,71.14433942,92.67178702,81.50425589,87.25897359,86.67077438,80.04235839,89.64777228,1,17,2,10,3,5,1,1984,5,13,3,4,16,13,8,0,0,0
416,2,79.33165888,76.06226115,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,31,1,5,4,4,,1988,6,10,4,2,16,8,5,10,15,0
417,2,68.94072906,74.83714493,59.18261714,85.6115933,70.20555511,72.48648275,73.34727143,78.11402303,2,20,2,2,3,5,1,1990,6,6,4,8,23,13,12,20,0,0
418,2,71.5008015,72.98182553,66.69170125,74.50344395,74.62620145,75.56167793,73.38427443,67.00620448,2,32,1,5,4,2,,1986,4,10,4,6,20,8,12,50,30,0
419,2,76.88703931,76.54043924,74.19740745,77.76704377,71.50634238,77.77367433,80.05438118,81.09249372,2,30,1,5,3,5,1,1988,6,9,4,7,20,10,16,15,0,0
420,2,80.94879357,82.21977934,74.05246448,78.18891256,85.79393203,80.84886951,82.34645282,84.76955472,2,25,1,7,3,2,,1995,6,4,5,5,25,10,20,11,0,0
421,2,81.36253601,82.83214924,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,30,1,5,3,5,1,1989,5,8,5,4,20,12,15,12,6,0
422,2,77.26790856,72.77478601,66.69170125,77.76704377,60.56309666,58.30219113,68.75110538,70.33397033,2,29,2,3,3,2,,1991,6,6,2,5,25,10,20,0,0,0
423,2,86.3511297,86.48704258,74.05246448,81.45251238,85.62967773,88.88277078,88.88352277,85.19548542,2,30,2,5,3,2,,1990,6,6,6,4,25,15,20,0,0,1
424,2,80.57883545,85.2240142,85.16608081,88.87519312,85.79393203,79.98567074,84.31140228,88.87254642,1,10,1,12,6,6,1,1985,4,15,4,2,25,15,15,40,10,0
425,2,81.68806034,73.25296411,70.44455435,74.50344395,77.82272845,75.02696464,82.16439024,73.66173617,2,28,1,5,6,6,2,1992,5,7,4,4,20,12,10,40,10,0
426,2,74.25484708,75.77902087,62.93884815,63.3952946,69.73106376,71.95176946,73.33524865,66.65690932,1,5,4,8,2,3,,1985,6,12,6,3,20,15,12,10,10,0
427,2,68.72547041,73.34924375,66.69170125,77.76704377,71.50634238,69.41128758,75.48226069,70.33397033,1,10,2,5,2,3,,1990,6,7,3,2,25,20,15,10,10,0
428,2,62.95217776,72.98182553,81.55817068,74.08157516,73.0316145,69.73977306,71.41932496,77.76472787,2,29,3,8,6,6,2,1991,5,7,4,1,20,5,16,0,0,0
429,2,83.93419612,85.62934458,81.55817068,84.7161122,81.06304863,85.80757561,82.03135343,84.76955472,2,20,2,10,5,6,1,1983,5,15,5,2,20,15,14,0,0,0
430,2,86.3511297,87.65379133,88.91893392,81.92612469,85.62967773,88.88277078,86.59145113,77.76472787,2,20,2,10,5,6,1,1985,5,10,4,4,20,15,12,21,0,0
431,2,76.14258534,81.05303059,70.29961138,77.76704377,65.12972575,66.12986459,75.47023791,67.00620448,1,6,1,3,3,2,,1993,5,4,4,8,25,12,8,40,10,0
432,2,70.37547828,57.3914666,55.42976404,70.34436303,64.8194887,69.41128758,71.10422558,66.65690932,2,35,1,15,3,2,,1985,6,12,7,9,23,18,12,0,0,0
433,2,98.92766318,90.17984809,92.67178702,89.77067421,95.12615343,85.80757561,84.49346486,84.76955472,2,34,1,6,3,5,1,1987,6,10,5,4,20,15,8,0,0,1
434,2,81.68806034,83.23747961,81.55817068,81.45251238,82.7780967,99.99186723,82.34645282,85.97071128,2,20,1,9,4,4,,1990,5,6,6,8,20,14,15,0,0,0
435,2,74.66858952,72.77478601,66.69170125,66.65889442,66.65499787,66.66457788,71.04317701,66.65690932,1,6,1,6,4,6,1,1995,4,6,7,9,20,12,7,0,27,0
436,2,79.14408622,78.93230421,77.80531758,81.92612469,84.07888396,77.77367433,91.1755944,78.11402303,2,36,1,7,3,5,1,1984,5,12,4,4,23,12,18,30,0,0
437,2,75.59024176,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,13,2,4,1,1,,1992,6,4,6,5,20,15,15,0,0,0
438,2,84.85584836,85.26192636,77.80531758,88.87519312,80.83856378,88.88277078,80.06640397,81.44178887,2,20,1,13,3,5,1,1985,8,12,6,1,20,15,12,15,5,0
439,2,82.67024469,81.97445123,81.55817068,85.1897245,79.31329166,80.84886951,77.77433233,85.54478058,1,11,2,12,3,5,1,1985,4,12,5,2,25,15,20,20,5,0
440,2,81.36253601,82.07073087,70.44455435,78.18891256,80.77833322,83.06086591,82.16439024,84.76955472,2,25,1,13,5,6,2,1982,6,15,7,9,23,16,19,0,0,0
441,2,83.21102768,82.2576915,85.16608081,81.45251238,83.85439911,80.52038403,82.34645282,81.86771957,1,21,1,13,5,6,2,1985,5,15,7,9,23,17,15,0,0,0
442,2,74.66858952,75.77902087,74.05246448,74.50344395,74.52217771,77.77367433,75.49428348,74.43696203,2,37,2,7,3,5,1,1982,4,15,4,2,23,12,20,0,0,0
443,2,84.25972045,85.91258485,74.05246448,81.92612469,84.01865341,85.80757561,95.6026553,92.20031227,2,35,1,8,3,5,1,1984,5,13,2,4,20,12,12,25,10,0
444,2,85.04342101,80.19533259,81.55817068,85.1897245,82.6138424,83.5955792,84.49346486,84.76955472,1,14,2,4,2,3,,1991,6,5,4,8,20,11,13,0,17,0
445,2,74.66858952,74.51599249,70.44455435,77.76704377,74.52217771,71.95176946,73.20221184,70.33397033,1,10,1,15,3,5,1,1980,6,17,4,2,20,15,16,0,0,0
446,2,83.21102768,84.64955647,81.55817068,84.7161122,84.01865341,83.06086591,82.16439024,81.86771957,1,24,2,10,3,5,1,1986,4,11,7,9,21,16,15,0,0,0
447,2,83.21102768,85.62934458,81.55817068,88.87519312,85.62967773,83.5955792,84.49346486,84.76955472,2,35,1,15,4,5,2,1984,5,13,2,2,28,17,22,0,17,0
448,2,73.92932275,75.77902087,70.44455435,74.08157516,72.74689909,72.48648275,73.38427443,73.66173617,1,10,1,8,3,5,1,1990,6,8,3,2,20,15,16,0,0,0
449,2,66.1538103,61.01077544,59.33093802,59.70982599,63.63916254,63.91786819,55.5418656,55.11946702,2,20,1,5,3,5,1,1986,6,10,4,4,22,13,7,25,30,0
450,2,90.77128148,93.94550132,96.27969715,99.98334246,99.97749794,99.99186723,97.70064157,96.65259912,2,5,1,5,3,5,1,1990,6,8,4,1,20,8,9,20,20,0
451,2,79.83956868,83.23747961,62.93884815,78.18891256,68.43027649,75.23319245,81.95828208,69.98467517,2,30,2,5,5,6,1,1988,6,9,4,2,23,8,8,20,20,0
452,2,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,5,2,10,3,5,1,1987,8,5,5,2,22,12,13,10,0,0
453,2,93.52532705,90.94126646,96.27969715,93.03427403,85.62967773,94.70467565,93.45564325,89.22184158,2,25,2,7,2,3,,1994,6,3,5,4,33,18,25,25,0,0
454,2,69.50917097,73.42209146,73.9041436,73.65970636,61.80365337,83.06086591,82.16439024,71.53512688,1,20,1,2,4,5,2,1980,5,18,5,4,30,20,26,40,10,0
455,2,75.77781441,81.49627314,85.16608081,81.03064359,77.76249789,77.77367433,73.38427443,77.76472787,1,6,4,8,3,5,1,1987,6,10,6,7,32,25,18,30,20,0
456,2,77.62630608,77.04204926,70.44455435,77.76704377,80.83856378,80.52038403,82.34645282,81.86771957,2,10,1,5,3,5,1,1985,5,15,3,2,30,8,10,40,15,0
457,2,77.80869155,78.208798,81.55817068,74.50344395,76.29745633,77.77367433,77.77433233,80.66656302,2,26,1,7,4,2,,1994,6,4,5,5,30,17,20,0,0,0
458,2,82.79728523,82.21977934,81.55817068,77.76704377,81.00281808,75.23319245,80.05438118,81.44178887,2,30,1,7,5,6,1,1990,6,7,4,2,30,20,25,13,5,0
459,2,74.25484708,76.90785746,70.44455435,77.76704377,82.07912049,83.5955792,82.16439024,81.09249372,2,32,1,10,4,5,2,1988,6,9,3,3,34,19,28,17,6,0
460,2,72.09692941,69.6943504,74.05246448,74.08157516,63.57893199,72.48648275,68.77515095,74.43696203,1,4,2,6,2,3,,1990,4,10,4,2,30,20,25,30,5,0
461,2,81.14727736,83.29584709,81.41322771,85.6115933,74.74666256,75.56167793,84.4324163,70.33397033,2,10,1,6,3,5,1,1990,8,6,5,2,35,30,12,35,20,0
462,2,71.35766264,72.08621536,63.08379112,74.08157516,71.13587477,71.95176946,73.38427443,69.55874447,2,28,2,7,5,6,1,1993,5,6,4,8,35,23,30,0,0,0
463,2,74.25484708,74.79923276,55.57808492,70.34436303,68.43027649,77.77367433,66.66514189,70.33397033,2,27,1,3,3,2,,1992,6,5,4,4,30,12,20,20,0,0
464,2,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,74.69847916,77.77433233,77.76472787,1,10,1,12,3,5,1,1983,4,12,4,3,35,20,20,30,0,0
465,2,85.36894535,80.80770249,81.55817068,81.92612469,77.76249789,83.06086591,82.34645282,81.86771957,2,15,1,10,3,5,1,1990,6,6,3,7,36,12,18,0,0,1
466,2,87.61508113,92.60962522,81.55817068,84.7161122,82.7780967,83.06086591,82.15236745,85.54478058,2,20,1,1,3,2,,1999,6,1,4,8,30,20,15,30,5,0
467,2,70.24843774,72.36945563,70.44455435,70.34436303,79.22753946,66.33609241,66.85922726,73.73837171,2,35,1,12,4,5,2,1985,6,13,4,3,30,15,10,40,8,0
